Phylum;Phylum_count;bact_defence_system;system_count;Number_of_phylum_containing_each_system;Total_number_of_different_system_per_prokaryotic_genomes;Frequency_of_each_system_in_a_given_phylum
Actinomycetota;82;Wadjet;2;50;68;0.609756098
Actinomycetota;82;Zorya;0;0;0;0
Actinomycetota;82;dXTPase;1;73;73;0.890243902
Actinomycetota;82;ietAS;1;7;7;0.085365854
Actinomycetota;82;qatABCD;1;2;2;0.024390244
Armatimonadota;1;3HP;0;0;0;0
Armatimonadota;1;AVAST;0;0;0;0
Armatimonadota;1;Abi;0;0;0;0
Armatimonadota;1;Argonaute;0;0;0;0
Armatimonadota;1;BREX;0;0;0;0
Armatimonadota;1;CBASS;0;0;0;0
Armatimonadota;1;CRISPR-Cas;0;0;0;0
Armatimonadota;1;DISARM;0;0;0;0
Armatimonadota;1;DRT;1;1;1;1
Armatimonadota;1;DUF4238;0;0;0;0
Armatimonadota;1;DarTG;0;0;0;0
Armatimonadota;1;Dpd;0;0;0;0
Armatimonadota;1;DprA-PRTase;0;0;0;0
Armatimonadota;1;Druantia;0;0;0;0
Armatimonadota;1;Dsr;0;0;0;0
Armatimonadota;1;GAO;0;0;0;0
